Branch_ID,City,Region,Firm_Revenue,Expenses,Profit_Margin,Calculated_Profit_Margin,Margin_Difference,Calculated_Profit
1000,Solapur,East,422443.0,346471,56.31,17.983964700563153,38.32603529943685,75972.0
1001,Mumbai,North,211155.0,216256,79.53,-2.415760933911108,81.9457609339111,-5101.0
1002,Nashik,West,985006.0,71777,55.31,92.71303931143567,-37.40303931143566,913229.0
1003,Solapur,North,55113.0,253655,2.57,-360.24531417269975,362.81531417269974,-198542.0
1004,Nagpur,West,282701.0,148194,-14.1,47.57924450214184,-61.67924450214184,134507.0
1005,Nagpur,East,657164.0,90729,11.57,86.19385724111484,-74.62385724111485,566435.0
1006,Kolhapur,North,96520.0,273124,19.48,-182.9714048901782,202.4514048901782,-176604.0
1007,Kolhapur,West,427163.0,111053,-9.09,74.0021958830704,-83.0921958830704,316110.0
1008,Kolhapur,North,,59920,-5.94,,,
1009,Nagpur,South,690932.0,44992,56.47,93.48821591705118,-37.01821591705118,645940.0
1010,Solapur,North,936640.0,226126,-18.9,75.85774683976769,-94.75774683976769,710514.0
1011,Nashik,East,257505.0,483161,65.12,-87.63169647191317,152.7516964719132,-225656.0
1012,Nagpur,West,969777.0,347637,-11.4,64.15289288155937,-75.55289288155937,622140.0
1013,Pune,West,214437.0,52323,10.97,75.59982652247513,-64.62982652247513,162114.0
1014,Nagpur,North,370373.0,194199,-8.67,47.56664227683983,-56.23664227683983,176174.0
1015,Nagpur,East,494847.0,394802,73.24,20.21736011332796,53.02263988667204,100045.0
1016,Nashik,North,366811.0,326818,9.12,10.902890044191697,-1.7828900441916975,39993.0
1017,Nagpur,East,658552.0,280743,96.78,57.36965342144585,39.410346578554154,377809.0
1018,Nagpur,East,938738.0,218097,40.11,76.76699995099804,-36.65699995099804,720641.0
1019,Nashik,West,112412.0,219553,-47.5,-95.31099882574814,47.81099882574814,-107141.0
1020,Nagpur,South,928809.0,456732,72.27,50.82605788703598,21.443942112964017,472077.0
1021,Solapur,North,718065.0,104070,53.39,85.50688308161517,-32.11688308161517,613995.0
1022,Pune,West,948252.0,264169,-11.58,72.14147716007982,-83.72147716007981,684083.0
1023,Solapur,North,141055.0,264179,-9.72,-87.28793732941051,77.56793732941051,-123124.0
1024,Nagpur,South,453778.0,239635,23.83,47.191137516583,-23.361137516583,214143.0
1025,Pune,West,410506.0,347517,49.96,15.344233701821656,34.61576629817834,62989.0
1026,Kolhapur,East,173491.0,197880,84.95,-14.05778974125459,99.0077897412546,-24389.0
1027,Mumbai,East,405516.0,184621,-25.05,54.472573215360185,-79.52257321536018,220895.0
1028,Pune,West,301173.0,122217,-24.9,59.419669093843076,-84.31966909384307,178956.0
1029,Nashik,West,637247.0,235181,54.57,63.09421621443491,-8.524216214434908,402066.0
1030,Pune,East,950410.0,483008,-2.32,49.178985911343524,-51.498985911343524,467402.0
1031,Solapur,East,646023.0,117992,-15.94,81.73563479938021,-97.6756347993802,528031.0
